Barcode,PIR22606020015T
Result,PASS
Panel ID,"4"
Program Name,FCR_PROGRAM
Machine ID,Line_2_FCR
Inspection Operator ID,FCR_OP
Review Operator ID,
Test Start Time,20260602121947
Test End Time,20260602121955
