Barcode,PIR22606020568T
Result,NG
Panel ID,"1"
Program Name,\PIR_DUAL_SENSOR_TOP\PIR_DUAL_SENSOR_TOP.KYJOB
Machine ID,Line_1_Post_AOI
Inspection Operator ID,RAJNISH
Review Operator ID,
Test Start Time,20260602111511
Test End Time,20260602111518
Number of Tested Component,156
Number of False Call Component,0
Number of Defect Component,2
Number of Tested Inspection Item,1596
Number of False Call Inspection Item,0
Number of Defect Inspection Item,4Panel Barcode,Ref Des(CRD name),Lead,Comp Part #,Package Name,Machine Call,Repair Status,Operator Call
PIR22606020568T,D5,0,IKRECDOXXSM000014,IKRECDOXXSM00007_1,Polarity,Repair it later,POLARITY
PIR22606020568T,U2,7,IKRECICXXSM00004,IKRECICXXSM00004,Solderfillet,Repair it later,SOLDER_JOINT
PIR22606020568T,U2,6,IKRECICXXSM00004,IKRECICXXSM00004,Solderfillet,Repair it later,SOLDER_JOINT
PIR22606020568T,U2,1,IKRECICXXSM00004,IKRECICXXSM00004,Solderfillet,Repair it later,SOLDER_JOINT
