Barcode,PIR22606020565T
Result,NG
Panel ID,"6"
Program Name,\PIR_DUAL_SENSOR_TOP\PIR_DUAL_SENSOR_TOP.KYJOB
Machine ID,Line_1_Post_AOI
Inspection Operator ID,RAJNISH
Review Operator ID,
Test Start Time,20260602111511
Test End Time,20260602111518
Number of Tested Component,156
Number of False Call Component,0
Number of Defect Component,1
Number of Tested Inspection Item,1596
Number of False Call Inspection Item,0
Number of Defect Inspection Item,2Panel Barcode,Ref Des(CRD name),Lead,Comp Part #,Package Name,Machine Call,Repair Status,Operator Call
PIR22606020565T,U2,10,IKRECICXXSM00004,IKRECICXXSM00004,Solderfillet,Repair it later,SOLDER_JOINT
PIR22606020565T,U2,1,IKRECICXXSM00004,IKRECICXXSM00004,Solderfillet,Repair it later,SOLDER_JOINT
